# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-11.4959609
20119919.9199199	-14.629632
40139839.8398398	-15.44128429
60159759.7597598	-15.39910152
80179679.6796797	-14.88495767
100199599.5996	-16.14130255
120219519.51952	-19.8990565
140239439.439439	-24.70781863
160259359.359359	-27.84826331
180279279.279279	-29.99610201
200299199.199199	-31.81299308
220319119.119119	-32.13496482
240339039.039039	-34.57044663
260358958.958959	-33.29856509
280378878.878879	-24.98955973
300398798.798799	-28.28994279
320418718.718719	-36.26890418
340438638.638639	-41.77614646
360458558.558559	-52.58033563
380478478.478478	-42.84609742
400498398.398398	-39.49726768
420518318.318318	-41.40918292
440538238.238238	-40.9665161
460558158.158158	-37.66270677
480578078.078078	-40.49439531
500597997.997998	-45.95174688
520617917.917918	-48.08982535
540637837.837838	-49.07100636
560657757.757758	-52.61766468
580677677.677678	-63.79391659
600697597.597598	-45.76093975
620717517.517517	-51.60518952
640737437.437437	-69.77836567
660757357.357357	-63.47015327
680777277.277277	-50.46942173
700797197.197197	-52.69085562
720817117.117117	-62.66199037
740837037.037037	-57.1280613
760856956.956957	-49.04415448
780876876.876877	-48.98011423
800896796.796797	-51.54062855
820916716.716717	-56.33392004
840936636.636637	-53.4665162
860956556.556557	-50.00154425
880976476.476476	-55.15604518
900996396.396396	-49.31129441
921016316.316316	-51.96842433
941036236.236236	-53.14891084
961056156.156156	-71.76142585
981076076.076076	-59.34282032
1001095995.996	-49.90268642
1021115915.91592	-54.09776003
1041135835.83584	-47.18420524
1061155755.75576	-54.10279897
1081175675.67568	-55.91221912
1101195595.5956	-56.13806252
1121215515.51552	-48.41355256
1141235435.43544	-50.99969692
1161255355.35536	-54.31050463
1181275275.27528	-46.77511822
1201295195.1952	-42.87283268
1221315115.11512	-44.40841813
1241335035.03503	-47.41792651
1261354954.95495	-45.37987557
1281374874.87487	-38.03245124
1301394794.79479	-39.00869953
1321414714.71471	-36.3784998
1341434634.63463	-38.97155
1361454554.55455	-36.28453173
1381474474.47447	-36.18840393
1401494394.39439	-34.29703211
1421514314.31431	-34.6653988
1441534234.23423	-34.67267839
1461554154.15415	-35.04445435
1481574074.07407	-33.90604183
1501593993.99399	-34.0853457
1521613913.91391	-33.26810268
1541633833.83383	-32.92753186
1561653753.75375	-32.70859991
1581673673.67367	-32.72225486
1601693593.59359	-33.7953506
1621713513.51351	-31.46070879
1641733433.43343	-31.95906028
1661753353.35335	-32.25344341
1681773273.27327	-31.3728585
1701793193.19319	-31.48225482
1721813113.11311	-30.68649455
1741833033.03303	-30.19389249
1761852952.95295	-29.80272087
1781872872.87287	-29.89446126
1801892792.79279	-29.66241278
1821912712.71271	-29.72722562
1841932632.63263	-29.68888991
1861952552.55255	-29.91937427
1881972472.47247	-28.82062169
1901992392.39239	-28.75661641
1922012312.31231	-29.33621821
1942032232.23223	-28.94727947
1962052152.15215	-28.9345578
1982072072.07207	-29.33197627
2002091991.99199	-29.49586729
2022111911.91191	-28.84956928
2042131831.83183	-29.29010457
2062151751.75175	-28.97807841
2082171671.67167	-29.0633559
2102191591.59159	-28.91128433
2122211511.51151	-29.15292589
2142231431.43143	-28.60676159
2162251351.35135	-28.82864719
2182271271.27127	-28.46578221
2202291191.19119	-28.60473336
2222311111.11111	-28.52402314
2242331031.03103	-28.75360102
2262350950.95095	-29.26981192
2282370870.87087	-28.25000304
2302390790.79079	-28.40069679
2322410710.71071	-28.9217555
2342430630.63063	-28.45154226
2362450550.55055	-28.8701011
2382470470.47047	-28.34498833
2402490390.39039	-29.04718229
2422510310.31031	-28.69701296
2442530230.23023	-29.72633264
2462550150.15015	-28.55546784
2482570070.07007	-28.21834781
2502589989.98999	-28.67164535
2522609909.90991	-29.04166368
2542629829.82983	-29.30161093
2562649749.74975	-28.72621736
2582669669.66967	-28.93977125
2602689589.58959	-29.11278065
2622709509.50951	-29.36889277
2642729429.42943	-29.44867421
2662749349.34935	-29.99238743
2682769269.26927	-29.73772748
2702789189.18919	-29.18744996
2722809109.10911	-29.83487584
2742829029.02903	-30.12670351
2762848948.94895	-29.79705938
2782868868.86887	-29.67490486
2802888788.78879	-29.81323458
2822908708.70871	-30.01853957
2842928628.62863	-30.215884
2862948548.54855	-30.14103965
2882968468.46847	-30.69695111
2902988388.38839	-30.4029742
2923008308.30831	-30.67041818
2943028228.22823	-30.23029063
2963048148.14815	-30.6645684
2983068068.06807	-29.94380521
3003087987.98799	-30.93398923
3023107907.90791	-30.95318307
3043127827.82783	-30.52487167
3063147747.74775	-30.66040565
3083167667.66767	-30.96230866
3103187587.58759	-31.12161318
3123207507.50751	-30.63997361
3143227427.42743	-31.093879
3163247347.34735	-30.7698336
3183267267.26727	-31.18793212
3203287187.18719	-30.94168545
3223307107.10711	-30.80328762
3243327027.02703	-31.52836193
3263346946.94695	-31.65482156
3283366866.86687	-31.49891057
3303386786.78679	-31.36960185
3323406706.70671	-31.62125998
3343426626.62663	-31.84242984
3363446546.54655	-31.07309265
3383466466.46647	-32.09082472
3403486386.38639	-31.99865645
3423506306.30631	-32.62839308
3443526226.22623	-31.52471707
3463546146.14615	-31.87686547
3483566066.06607	-32.03808669
3503585985.98599	-32.24349735
3523605905.90591	-32.25207793
3543625825.82583	-31.48983206
3563645745.74575	-32.45553427
3583665665.66567	-32.444733
3603685585.58559	-32.66857694
3623705505.50551	-32.74481965
3643725425.42543	-32.23603528
3663745345.34535	-32.4878865
3683765265.26526	-32.44226622
3703785185.18518	-33.01373084
3723805105.1051	-32.0558359
3743825025.02502	-32.56578919
3763844944.94494	-32.28606163
3783864864.86486	-33.15347686
3803884784.78478	-32.49138088
3823904704.7047	-33.19243998
3843924624.62462	-33.3983798
3863944544.54454	-32.60304521
3883964464.46446	-33.41438993
3903984384.38438	-33.56161536
3924004304.3043	-33.25523862
3944024224.22422	-32.89158694
3964044144.14414	-33.25577523
3984064064.06406	-33.58068135
4004083983.98398	-33.52047075
4024103903.9039	-33.55144009
4044123823.82382	-34.44160172
4064143743.74374	-33.51669338
4084163663.66366	-34.05767168
4104183583.58358	-34.53310724
4124203503.5035	-33.87856344
4144223423.42342	-33.75132985
4164243343.34334	-33.85782996
4184263263.26326	-34.39663745
4204283183.18318	-33.25765348
4224303103.1031	-34.3350536
4244323023.02302	-33.76316203
4264342942.94294	-34.75544595
4284362862.86286	-34.83316917
4304382782.78278	-34.27152656
4324402702.7027	-34.18955566
4344422622.62262	-35.83307531
4364442542.54254	-34.28553632
4384462462.46246	-33.29765323
4404482382.38238	-34.88399241
4424502302.3023	-34.08075911
4444522222.22222	-34.53763386
4464542142.14214	-34.76111347
4484562062.06206	-35.05125013
4504581981.98198	-34.61315598
4524601901.9019	-34.67318741
4544621821.82182	-35.51848169
4564641741.74174	-35.04813547
4584661661.66166	-35.26447745
4604681581.58158	-34.92625457
4624701501.5015	-35.27875322
4644721421.42142	-35.75059289
4664741341.34134	-36.05320526
4684761261.26126	-35.65072286
4704781181.18118	-35.27063479
4724801101.1011	-35.60673079
4744821021.02102	-35.65004727
4764840940.94094	-34.70053638
4784860860.86086	-36.15888115
4804880780.78078	-35.64465873
4824900700.7007	-35.93673801
4844920620.62062	-34.73642155
4864940540.54054	-35.59345443
4884960460.46046	-34.9351751
4904980380.38038	-35.26642176
4925000300.3003	-35.4498261
4945020220.22022	-36.58257477
4965040140.14014	-35.86336327
4985060060.06006	-34.80969309
5005079979.97998	-35.91691388
5025099899.8999	-35.89778554
5045119819.81982	-36.37125815
5065139739.73974	-36.03807986
5085159659.65966	-37.04750647
5105179579.57958	-35.94883227
5125199499.4995	-36.52763314
5145219419.41942	-36.08217769
5165239339.33934	-36.75322367
5185259259.25926	-35.92788066
5205279179.17918	-37.24616062
5225299099.0991	-36.39593996
5245319019.01902	-35.87757968
5265338938.93894	-36.69670134
5285358858.85886	-36.8139748
5305378778.77878	-37.42898954
5325398698.6987	-36.49400212
