# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-10.88342192
20119919.9199199	-14.43013885
40139839.8398398	-15.60988999
60159759.7597598	-15.61611834
80179679.6796797	-14.94284697
100199599.5996	-16.28094955
120219519.51952	-19.78081019
140239439.439439	-24.2870243
160259359.359359	-27.71697744
180279279.279279	-30.22697417
200299199.199199	-31.83055198
220319119.119119	-33.87417935
240339039.039039	-34.59372652
260358958.958959	-32.35196187
280378878.878879	-25.56989636
300398798.798799	-27.89459081
320418718.718719	-35.98120257
340438638.638639	-45.81488974
360458558.558559	-48.00616949
380478478.478478	-44.02888083
400498398.398398	-43.44232253
420518318.318318	-41.01248341
440538238.238238	-38.96048931
460558158.158158	-40.13711544
480578078.078078	-43.1241553
500597997.997998	-50.97472877
520617917.917918	-56.6684761
540637837.837838	-58.98884092
560657757.757758	-72.47532319
580677677.677678	-53.83155533
600697597.597598	-45.91435077
620717517.517517	-71.91017588
640737437.437437	-51.86332128
660757357.357357	-50.22580825
680777277.277277	-48.33959776
700797197.197197	-48.12304293
720817117.117117	-67.00820258
740837037.037037	-71.99584053
760856956.956957	-46.77754158
780876876.876877	-57.06191135
800896796.796797	-59.95953839
820916716.716717	-48.7157583
840936636.636637	-60.13599783
860956556.556557	-53.07997598
880976476.476476	-54.02728711
900996396.396396	-57.77578946
921016316.316316	-49.61846329
941036236.236236	-54.08924548
961056156.156156	-58.26359471
981076076.076076	-63.41739437
1001095995.996	-57.9487039
1021115915.91592	-72.59398785
1041135835.83584	-53.20819214
1061155755.75576	-51.30769894
1081175675.67568	-54.75628681
1101195595.5956	-51.77475386
1121215515.51552	-45.82534252
1141235435.43544	-45.96449502
1161255355.35536	-53.47610245
1181275275.27528	-51.19748441
1201295195.1952	-43.20783699
1221315115.11512	-42.34351689
1241335035.03503	-41.92017288
1261354954.95495	-39.00346654
1281374874.87487	-40.94357307
1301394794.79479	-39.76654808
1321414714.71471	-40.55030141
1341434634.63463	-37.57419532
1361454554.55455	-37.09196166
1381474474.47447	-35.47139092
1401494394.39439	-37.59951681
1421514314.31431	-36.08893535
1441534234.23423	-34.49833093
1461554154.15415	-34.2076699
1481574074.07407	-33.94845408
1501593993.99399	-33.95463339
1521613913.91391	-32.91407405
1541633833.83383	-34.40961407
1561653753.75375	-34.06628486
1581673673.67367	-32.75604755
1601693593.59359	-32.54218553
1621713513.51351	-32.21143782
1641733433.43343	-32.30164681
1661753353.35335	-30.71480282
1681773273.27327	-31.53914448
1701793193.19319	-30.40291278
1721813113.11311	-30.55465271
1741833033.03303	-29.8219854
1761852952.95295	-30.93536557
1781872872.87287	-29.95365991
1801892792.79279	-29.09905132
1821912712.71271	-28.89717345
1841932632.63263	-29.80469911
1861952552.55255	-29.21905128
1881972472.47247	-29.27416897
1901992392.39239	-29.27335571
1922012312.31231	-29.19468854
1942032232.23223	-29.06545889
1962052152.15215	-29.07357095
1982072072.07207	-29.46679503
2002091991.99199	-29.23248933
2022111911.91191	-29.34954864
2042131831.83183	-29.05477293
2062151751.75175	-29.10994711
2082171671.67167	-29.98655359
2102191591.59159	-29.30679095
2122211511.51151	-28.92437982
2142231431.43143	-28.46103783
2162251351.35135	-28.37109859
2182271271.27127	-29.27384431
2202291191.19119	-29.60562371
2222311111.11111	-28.06223935
2242331031.03103	-28.25079892
2262350950.95095	-29.03759051
