# S12_frequency_set	VNA_S12_trace
# "S12 frequency"	"S12 magnitude"
# 1000
100000	-12.38458894
20119919.9199199	-28.81551747
40139839.8398398	-21.17224932
60159759.7597598	-17.15448416
80179679.6796797	-17.58175498
100199599.5996	-19.74718659
120219519.51952	-20.91359561
140239439.439439	-21.16528618
160259359.359359	-20.79063018
180279279.279279	-18.8356196
200299199.199199	-16.77525739
220319119.119119	-13.84319431
240339039.039039	-11.95877529
260358958.958959	-13.70476121
280378878.878879	-13.73463451
300398798.798799	-16.69161203
320418718.718719	-31.55265836
340438638.638639	-33.9768807
360458558.558559	-27.92866618
380478478.478478	-36.0760306
400498398.398398	-38.63744898
420518318.318318	-41.85264459
440538238.238238	-36.98829599
460558158.158158	-36.33540292
480578078.078078	-45.44399685
500597997.997998	-47.99665198
520617917.917918	-58.53762165
540637837.837838	-51.74911463
560657757.757758	-59.6361765
580677677.677678	-49.72597856
600697597.597598	-56.62319034
620717517.517517	-53.14972622
640737437.437437	-53.6418324
660757357.357357	-48.43182611
680777277.277277	-49.1884065
700797197.197197	-51.83774146
720817117.117117	-49.75748443
740837037.037037	-61.08433099
760856956.956957	-55.39539696
780876876.876877	-51.22410098
800896796.796797	-53.95373029
820916716.716717	-47.36716523
840936636.636637	-54.26926907
860956556.556557	-54.25326725
880976476.476476	-53.75033697
900996396.396396	-48.93767536
921016316.316316	-53.59516472
941036236.236236	-56.22957361
961056156.156156	-49.88886018
981076076.076076	-54.2063331
1001095995.996	-55.47549505
1021115915.91592	-50.21559722
1041135835.83584	-72.96452195
1061155755.75576	-52.7156393
1081175675.67568	-55.84907056
1101195595.5956	-58.13362259
1121215515.51552	-45.86440109
1141235435.43544	-57.71303165
1161255355.35536	-52.11453616
1181275275.27528	-49.6640916
1201295195.1952	-45.17676427
1221315115.11512	-50.21100057
1241335035.03503	-48.69151942
1261354954.95495	-53.87943318
1281374874.87487	-50.06748855
1301394794.79479	-46.8922665
1321414714.71471	-50.52486626
1341434634.63463	-48.91280722
1361454554.55455	-50.82365627
1381474474.47447	-57.37238822
1401494394.39439	-48.97512727
1421514314.31431	-51.00527289
1441534234.23423	-51.45750195
1461554154.15415	-51.40820517
1481574074.07407	-44.17050312
1501593993.99399	-44.53819232
1521613913.91391	-50.12972289
1541633833.83383	-52.13148795
1561653753.75375	-47.95573042
1581673673.67367	-52.84590527
1601693593.59359	-52.24195616
1621713513.51351	-45.25268721
1641733433.43343	-52.17927673
1661753353.35335	-52.60268853
1681773273.27327	-50.43130144
1701793193.19319	-50.47411257
1721813113.11311	-60.15173694
1741833033.03303	-59.4128929
1761852952.95295	-62.07047642
1781872872.87287	-56.49711283
1801892792.79279	-65.45200749
1821912712.71271	-51.35667371
1841932632.63263	-67.77539086
1861952552.55255	-51.42601462
1881972472.47247	-49.03734194
1901992392.39239	-53.7877032
1922012312.31231	-50.55909026
1942032232.23223	-65.41198194
1962052152.15215	-54.29776975
1982072072.07207	-54.99597085
2002091991.99199	-57.44715803
2022111911.91191	-63.41211183
2042131831.83183	-52.94036264
2062151751.75175	-57.153264
2082171671.67167	-55.67569926
2102191591.59159	-52.88001966
2122211511.51151	-47.65071568
2142231431.43143	-45.85798438
2162251351.35135	-57.70924617
2182271271.27127	-49.68680961
2202291191.19119	-52.84547098
2222311111.11111	-53.41669457
2242331031.03103	-50.99686891
2262350950.95095	-53.89324323
2282370870.87087	-51.06122543
2302390790.79079	-45.29383649
2322410710.71071	-54.11216289
2342430630.63063	-51.85072704
2362450550.55055	-56.59549325
2382470470.47047	-51.52817697
2402490390.39039	-53.17021735
2422510310.31031	-58.09402808
2442530230.23023	-59.66327403
2462550150.15015	-54.72806648
2482570070.07007	-48.60977578
2502589989.98999	-54.9301264
2522609909.90991	-61.58937512
2542629829.82983	-55.47547788
2562649749.74975	-61.401374
2582669669.66967	-52.16074895
2602689589.58959	-52.12870297
2622709509.50951	-57.58974822
2642729429.42943	-58.24609697
2662749349.34935	-54.11189008
2682769269.26927	-59.4075116
2702789189.18919	-48.50101666
2722809109.10911	-52.99148893
2742829029.02903	-59.80969873
2762848948.94895	-57.64942666
2782868868.86887	-63.04462016
2802888788.78879	-66.75744508
2822908708.70871	-67.178196
2842928628.62863	-55.70926279
2862948548.54855	-61.24950434
2882968468.46847	-53.89425561
2902988388.38839	-52.03652456
2923008308.30831	-65.82902282
2943028228.22823	-60.86243521
2963048148.14815	-54.08594743
2983068068.06807	-60.54593527
3003087987.98799	-56.47861685
3023107907.90791	-64.27637017
3043127827.82783	-66.17925951
3063147747.74775	-59.67954678
3083167667.66767	-60.22575805
3103187587.58759	-55.79436324
3123207507.50751	-55.96443581
3143227427.42743	-64.54683591
3163247347.34735	-55.56456067
3183267267.26727	-75.57089023
3203287187.18719	-50.83472095
3223307107.10711	-56.7524776
3243327027.02703	-56.79629691
3263346946.94695	-52.88878147
3283366866.86687	-56.35735162
3303386786.78679	-54.3350998
3323406706.70671	-58.27183503
3343426626.62663	-60.49027822
3363446546.54655	-64.4459807
3383466466.46647	-56.30556189
3403486386.38639	-61.83332122
3423506306.30631	-53.48505328
3443526226.22623	-50.36561363
3463546146.14615	-60.18101299
3483566066.06607	-58.52433147
3503585985.98599	-58.10714344
3523605905.90591	-52.19574624
3543625825.82583	-54.83002126
3563645745.74575	-56.03563948
3583665665.66567	-54.77793714
3603685585.58559	-55.56588545
3623705505.50551	-66.92104445
3643725425.42543	-56.88311765
3663745345.34535	-61.91718028
3683765265.26526	-60.92979911
3703785185.18518	-54.24562918
3723805105.1051	-53.72253349
3743825025.02502	-93.79142222
3763844944.94494	-57.6136828
3783864864.86486	-62.00695782
3803884784.78478	-64.79369416
3823904704.7047	-60.76839275
3843924624.62462	-61.51746241
3863944544.54454	-65.0325562
3883964464.46446	-53.97246365
3903984384.38438	-67.49986702
3924004304.3043	-56.0559758
3944024224.22422	-60.69535298
3964044144.14414	-53.3303193
3984064064.06406	-57.95744053
4004083983.98398	-49.40686217
4024103903.9039	-54.25046117
4044123823.82382	-54.51868649
4064143743.74374	-62.79498377
4084163663.66366	-55.02793873
4104183583.58358	-57.72062448
4124203503.5035	-66.41947735
4144223423.42342	-57.28169955
4164243343.34334	-53.72285866
4184263263.26326	-53.77721992
4204283183.18318	-59.04214261
4224303103.1031	-56.52332547
4244323023.02302	-55.38838796
4264342942.94294	-54.61421249
4284362862.86286	-60.20676599
4304382782.78278	-74.84181625
4324402702.7027	-78.69413918
4344422622.62262	-54.82450594
4364442542.54254	-55.19880262
4384462462.46246	-60.57890496
4404482382.38238	-57.83835152
4424502302.3023	-60.89433664
4444522222.22222	-67.08080038
4464542142.14214	-60.83912116
4484562062.06206	-61.48277336
4504581981.98198	-57.25472111
4524601901.9019	-68.70417125
4544621821.82182	-64.22922834
4564641741.74174	-56.82258037
4584661661.66166	-59.02505839
4604681581.58158	-75.23718986
4624701501.5015	-56.75184139
4644721421.42142	-65.10546037
4664741341.34134	-64.49530037
4684761261.26126	-53.8658054
4704781181.18118	-57.30007495
4724801101.1011	-56.856081
4744821021.02102	-58.38749878
4764840940.94094	-54.57483376
4784860860.86086	-58.44407695
4804880780.78078	-61.87133382
4824900700.7007	-60.30516022
4844920620.62062	-68.5507383
4864940540.54054	-54.12273754
4884960460.46046	-61.1149628
4904980380.38038	-54.01964935
4925000300.3003	-69.09130351
4945020220.22022	-55.65420586
4965040140.14014	-63.44810487
4985060060.06006	-69.2325242
5005079979.97998	-61.01194802
5025099899.8999	-56.71913439
5045119819.81982	-50.6259393
5065139739.73974	-54.75264825
5085159659.65966	-66.58093512
5105179579.57958	-57.45079958
5125199499.4995	-58.84002852
5145219419.41942	-61.76107255
5165239339.33934	-53.68702083
5185259259.25926	-57.89188164
5205279179.17918	-56.08196072
5225299099.0991	-57.50454423
5245319019.01902	-59.58756071
5265338938.93894	-66.12136896
5285358858.85886	-51.63297435
5305378778.77878	-60.16474183
5325398698.6987	-62.13399379
5345418618.61862	-62.89845462
5365438538.53854	-61.00266445
5385458458.45846	-51.14544115
5405478378.37838	-50.77929733
5425498298.2983	-60.67741599
5445518218.21822	-56.75169675
5465538138.13814	-81.57028263
5485558058.05806	-54.61358782
5505577977.97798	-52.74643902
5525597897.8979	-57.71673625
5545617817.81782	-57.89798926
5565637737.73774	-57.33637394
5585657657.65766	-59.6131413
5605677577.57758	-62.42436236
5625697497.4975	-60.78523606
5645717417.41742	-58.79944767
5665737337.33734	-56.51375598
5685757257.25726	-61.87364708
5705777177.17718	-59.23860322
5725797097.0971	-71.32315635
5745817017.01702	-59.15531836
5765836936.93694	-66.82780165
5785856856.85686	-62.50138602
5805876776.77678	-59.55616945
5825896696.6967	-53.26865752
5845916616.61662	-53.3775067
5865936536.53654	-55.38307724
5885956456.45646	-60.00379692
5905976376.37638	-58.01889778
5925996296.2963	-57.93484118
5946016216.21622	-52.87681986
5966036136.13614	-52.78012221
5986056056.05606	-60.77521024
6006075975.97598	-61.47306082
6026095895.8959	-55.46550474
6046115815.81582	-61.76918664
6066135735.73574	-52.95610397
6086155655.65566	-53.21827675
6106175575.57558	-59.14496131
6126195495.49549	-56.61570288
6146215415.41541	-63.54359626
