# Time_set	MSO_chan2_trace
# "Channel 2 time series"	"Voltage"
# 100000
-0.247219741419947	-0.001207757212
-0.247214741369946	-0.002401092092
-0.247209741319946	-0.001912496536
-0.247204741269945	-0.00187831658
-0.247199741219945	-0.002108290388
-0.247194741169944	-0.001763922392
-0.247189741119944	-0.001997452496
-0.247184741069943	-0.001915460116
-0.247179741019943	-0.002069763848
-0.247174740969942	-0.00197018756
-0.247169740919942	-0.001561806236
-0.247164740869941	-0.001915064972
-0.247159740819941	-0.00150194192
-0.24715474076994	-0.001866857404
-0.24714974071994	-0.002192258488
-0.247144740669939	-0.001599542488
-0.247139740619939	-0.002272275148
-0.247134740569938	-0.001820427984
-0.247129740519938	-0.0015147841
-0.247124740469937	-0.001726383712
-0.247119740419937	-0.001795138768
-0.247114740369936	-0.001765305396
-0.247109740319936	-0.00137055654
-0.247104740269935	-0.001832084732
-0.247099740219935	-0.001860337528
-0.247094740169934	-0.00153651702
-0.247089740119934	-0.00181212996
-0.247084740069933	-0.001683905732
-0.247079740019933	-0.001692401328
-0.247074739969932	-0.00147922114
-0.247069739919932	-0.001594998332
-0.247064739869931	-0.002245998072
-0.247059739819931	-0.002134369892
-0.24705473976993	-0.002343401068
-0.24704973971993	-0.002014838832
-0.247044739669929	-0.001845914772
-0.247039739619929	-0.001926326576
-0.247034739569928	-0.002113032116
-0.247029739519928	-0.001449190196
-0.247024739469927	-0.002148397504
-0.247019739419927	-0.001531775292
-0.247014739369926	-0.002016221836
-0.247009739319926	-0.001837024032
-0.247004739269925	-0.0013468479
-0.246999739219925	-0.002422232296
-0.246994739169924	-0.002238687908
-0.246989739119924	-0.002099992364
-0.246984739069923	-0.00194746678
-0.246979739019923	-0.002490394636
-0.246974738969922	-0.002277609592
-0.246969738919922	-0.001468157108
-0.246964738869921	-0.00191190382
-0.246959738819921	-0.002171315856
-0.24695473876992	-0.001728754576
-0.24694973871992	-0.00154046846
-0.246944738669919	-0.001800473212
-0.246939738619919	-0.001781111156
-0.246934738569918	-0.001443855752
-0.246929738519918	-0.002033608172
-0.246924738469917	-0.002498890232
-0.246919738419917	-0.001556471792
-0.246914738369916	-0.001694772192
-0.246909738319916	-0.002036571752
-0.246904738269915	-0.001828726008
-0.246899738219915	-0.001540073316
-0.246894738169914	-0.001446226616
-0.246889738119914	-0.001306543212
-0.246884738069913	-0.001949640072
-0.246879738019913	-0.002661887132
-0.246874737969912	-0.001713146388
-0.246869737919912	-0.00169457462
-0.246864737869911	-0.001871994276
-0.246859737819911	-0.001656640796
-0.24685473776991	-0.002038745044
-0.24684973771991	-0.001738238032
-0.246844737669909	-0.002857680984
-0.246839737619909	-0.002049809076
-0.246834737569908	-0.00211046368
-0.246829737519908	-0.00163431516
-0.246824737469907	-0.00232384144
-0.246819737419907	-0.00185757152
-0.246814737369906	-0.001864684112
-0.246809737319906	-0.001847495348
-0.246804737269905	-0.001403946208
-0.246799737219905	-0.0020334106
-0.246794737169904	-0.001546790764
-0.246789737119904	-0.001638661744
-0.246784737069903	-0.001860732672
-0.246779737019903	-0.002430135176
-0.246774736969902	-0.001820427984
-0.246769736919902	-0.001310099508
-0.246764736869901	-0.001560620804
-0.246759736819901	-0.001756217084
-0.2467547367699	-0.001763527248
-0.2467497367199	-0.00185757152
-0.246744736669899	-0.001986783608
-0.246739736619899	-0.001489494884
-0.246734736569898	-0.001493841468
-0.246729736519898	-0.001868042836
-0.246724736469897	-0.00181410568
-0.246719736419897	-0.001558645084
-0.246714736369896	-0.001772417988
-0.246709736319896	-0.00153256558
-0.246704736269895	-0.00186152296
-0.246699736219895	-0.001910520816
-0.246694736169894	-0.001696945484
-0.246689736119894	-0.001703662932
-0.246684736069893	-0.001850458928
-0.246679736019893	-0.0022902542
-0.246674735969892	-0.001581761008
-0.246669735919892	-0.002139901908
-0.246664735869891	-0.001637871456
-0.246659735819891	-0.001561806236
-0.24665473576989	-0.001875353
-0.24664973571989	-0.001424098552
-0.246644735669889	-0.002142667916
-0.246639735619889	-0.002024717432
-0.246634735569888	-0.002019382988
-0.246629735519888	-0.000948937892
-0.246624735469887	-0.00160171578
-0.246619735419887	-0.001067085948
-0.246614735369886	-0.001190963592
-0.246609735319886	-0.00187337728
-0.246604735269885	-0.001756414656
-0.246599735219885	-0.001621868124
-0.246594735169884	-0.000995762456
-0.246589735119884	-0.001817661976
-0.246584735069883	-0.001667507256
-0.246579735019883	-0.000956840772
-0.246574734969882	-0.00164123018
-0.246569734919882	-0.001793163048
-0.246564734869881	-0.000841656296
-0.246559734819881	-0.001968804556
-0.24655473476988	-0.002043881916
-0.24654973471988	-0.001703662932
-0.246544734669879	-0.001480209
-0.246539734619879	-0.001435557728
-0.246534734569878	-0.00104851418
-0.246529734519878	-0.0015888736
-0.246524734469877	-0.00133005428
-0.246519734419877	-0.001607247796
-0.246514734369876	-0.00150194192
-0.246509734319876	-0.002197790504
-0.246504734269875	-0.001191358736
-0.246499734219875	-0.001907754808
-0.246494734169874	-0.001383793864
-0.246489734119874	-0.001706231368
-0.246484734069873	-0.002444953076
-0.246479734019873	-0.001159549644
-0.246474733969872	-0.00151280838
-0.246469733919872	-0.001833467736
-0.246464733869871	-0.001235417292
-0.246459733819871	-0.0019642604
-0.24645473376987	-0.00170642894
-0.24644973371987	-0.001692401328
-0.246444733669869	-0.001706824084
-0.246439733619869	-0.001535924304
-0.246434733569868	-0.001135841004
-0.246429733519868	-0.001937983324
-0.246424733469867	-0.002050796936
-0.246419733419867	-0.001730532724
-0.246414733369866	-0.001552125208
