# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-18.00485891
20119919.9199199	-14.40397366
40139839.8398398	-15.42758287
60159759.7597598	-15.57365518
80179679.6796797	-14.96792606
100199599.5996	-16.17189518
120219519.51952	-20.0735021
140239439.439439	-24.80398158
160259359.359359	-27.85662571
180279279.279279	-30.38798095
200299199.199199	-32.13675647
220319119.119119	-32.99408552
240339039.039039	-32.59351766
260358958.958959	-31.59254178
280378878.878879	-25.27555297
300398798.798799	-28.37267739
320418718.718719	-35.66862216
340438638.638639	-41.78869344
360458558.558559	-51.99050354
380478478.478478	-45.50891734
400498398.398398	-41.02543942
420518318.318318	-41.18674868
440538238.238238	-41.47557565
460558158.158158	-40.51110213
480578078.078078	-41.98559818
500597997.997998	-46.96444052
520617917.917918	-67.07995137
540637837.837838	-51.46352177
560657757.757758	-48.27069948
580677677.677678	-46.03952414
600697597.597598	-52.05488634
620717517.517517	-46.71548378
640737437.437437	-56.20071059
660757357.357357	-51.5958757
680777277.277277	-49.18051743
700797197.197197	-57.00319166
720817117.117117	-52.66533298
740837037.037037	-49.98166826
760856956.956957	-42.89818476
780876876.876877	-46.94084683
800896796.796797	-55.50708697
820916716.716717	-50.60389194
840936636.636637	-54.14268357
860956556.556557	-51.97677311
880976476.476476	-51.90244543
900996396.396396	-47.92448799
921016316.316316	-54.87514041
941036236.236236	-59.09011452
961056156.156156	-61.08232786
981076076.076076	-57.11974055
1001095995.996	-60.48050162
1021115915.91592	-49.77819967
1041135835.83584	-53.53124778
1061155755.75576	-49.3654608
1081175675.67568	-50.52976416
1101195595.5956	-57.82661946
1121215515.51552	-60.62527694
1141235435.43544	-48.40531754
1161255355.35536	-49.66788475
1181275275.27528	-42.49757869
1201295195.1952	-43.0733946
1221315115.11512	-43.62925793
1241335035.03503	-39.7214681
1261354954.95495	-39.23447191
1281374874.87487	-38.46058593
1301394794.79479	-41.21985229
1321414714.71471	-38.71815697
1341434634.63463	-36.54163748
1361454554.55455	-36.61434407
1381474474.47447	-35.99499301
1401494394.39439	-36.63986304
1421514314.31431	-34.47817452
1441534234.23423	-35.36561269
1461554154.15415	-35.08990881
1481574074.07407	-33.96972785
1501593993.99399	-34.09886223
1521613913.91391	-33.51829875
1541633833.83383	-34.27427477
1561653753.75375	-33.71599565
1581673673.67367	-32.94281376
1601693593.59359	-33.01553781
1621713513.51351	-33.26430655
1641733433.43343	-31.7220396
1661753353.35335	-31.36741843
1681773273.27327	-32.13108242
1701793193.19319	-30.43738995
1721813113.11311	-29.9621494
1741833033.03303	-30.60296062
1761852952.95295	-29.74198783
1781872872.87287	-29.76016142
1801892792.79279	-29.73390578
1821912712.71271	-29.44714508
1841932632.63263	-29.54354393
1861952552.55255	-29.16792915
1881972472.47247	-29.31369337
1901992392.39239	-28.88955534
1922012312.31231	-28.85918063
1942032232.23223	-28.88209716
1962052152.15215	-29.37957892
1982072072.07207	-29.27747211
2002091991.99199	-28.78663665
2022111911.91191	-29.56393708
2042131831.83183	-28.77285874
2062151751.75175	-28.57524882
2082171671.67167	-29.03046229
2102191591.59159	-28.72652505
2122211511.51151	-29.06147092
2142231431.43143	-28.69166074
2162251351.35135	-28.71856213
2182271271.27127	-29.23678245
2202291191.19119	-28.07262426
2222311111.11111	-28.35681052
2242331031.03103	-28.74106643
2262350950.95095	-28.61522341
2282370870.87087	-28.46812495
2302390790.79079	-29.04377488
2322410710.71071	-28.55966084
2342430630.63063	-28.31711024
2362450550.55055	-28.91798889
2382470470.47047	-28.32832005
2402490390.39039	-29.02078413
2422510310.31031	-27.80441999
2442530230.23023	-29.07261643
2462550150.15015	-28.35194355
2482570070.07007	-29.14490439
2502589989.98999	-28.87870052
2522609909.90991	-29.37163852
2542629829.82983	-28.86218506
2562649749.74975	-29.41192955
2582669669.66967	-29.41379309
2602689589.58959	-29.55676013
2622709509.50951	-29.65132485
2642729429.42943	-29.38320511
2662749349.34935	-29.68254383
2682769269.26927	-29.42568897
2702789189.18919	-30.13928935
2722809109.10911	-30.23952861
2742829029.02903	-30.19104667
2762848948.94895	-29.98318823
2782868868.86887	-30.54307049
2802888788.78879	-29.65140633
2822908708.70871	-29.56113728
2842928628.62863	-29.86292927
2862948548.54855	-30.33576468
2882968468.46847	-29.52713782
2902988388.38839	-30.31024995
2923008308.30831	-30.38324565
2943028228.22823	-30.52826731
2963048148.14815	-30.05601298
2983068068.06807	-29.99207081
3003087987.98799	-30.39303063
3023107907.90791	-30.4498964
3043127827.82783	-30.55207856
3063147747.74775	-31.42717698
3083167667.66767	-30.9190921
3103187587.58759	-31.47547995
3123207507.50751	-30.7386339
3143227427.42743	-31.00042215
3163247347.34735	-30.72056187
3183267267.26727	-30.5994158
3203287187.18719	-31.07035122
3223307107.10711	-31.70507033
3243327027.02703	-31.0272617
3263346946.94695	-31.51144792
3283366866.86687	-30.99029634
3303386786.78679	-31.47982462
3323406706.70671	-31.56463902
3343426626.62663	-32.00463163
3363446546.54655	-31.82027372
3383466466.46647	-31.45419791
3403486386.38639	-31.97811187
3423506306.30631	-31.86165564
3443526226.22623	-31.98059075
3463546146.14615	-31.82671801
3483566066.06607	-32.28342513
3503585985.98599	-32.36473924
3523605905.90591	-32.02686167
3543625825.82583	-31.82389923
3563645745.74575	-32.72481606
3583665665.66567	-32.68935731
3603685585.58559	-32.53272784
3623705505.50551	-32.7670078
3643725425.42543	-32.10935818
3663745345.34535	-33.28181512
3683765265.26526	-32.64516392
3703785185.18518	-32.71153381
3723805105.1051	-32.56627612
3743825025.02502	-32.25090398
3763844944.94494	-32.97740285
3783864864.86486	-33.15714238
3803884784.78478	-32.31371107
3823904704.7047	-32.76809717
3843924624.62462	-32.60387788
3863944544.54454	-33.02182563
3883964464.46446	-33.20856866
3903984384.38438	-32.65739373
3924004304.3043	-32.96677687
3944024224.22422	-33.60042009
3964044144.14414	-33.27191227
3984064064.06406	-33.69464842
4004083983.98398	-34.11110007
4024103903.9039	-33.56836387
4044123823.82382	-32.8818051
4064143743.74374	-34.29308523
4084163663.66366	-33.65896995
4104183583.58358	-34.51935081
4124203503.5035	-34.28683036
4144223423.42342	-34.42537646
4164243343.34334	-33.34490473
4184263263.26326	-33.47939979
