# S12_frequency_set	VNA_S12_trace
# "S12 frequency"	"S12 magnitude"
# 1000
100000	-20.09440866
20119919.9199199	-63.25671934
40139839.8398398	-62.69548536
60159759.7597598	-64.07014383
80179679.6796797	-64.19448325
100199599.5996	-64.75524063
120219519.51952	-65.07150995
140239439.439439	-65.36480412
160259359.359359	-65.65073216
180279279.279279	-65.90419054
200299199.199199	-66.14550004
220319119.119119	-66.31641737
240339039.039039	-66.49816998
260358958.958959	-66.74772996
280378878.878879	-66.88218982
300398798.798799	-67.10963283
320418718.718719	-67.26626717
340438638.638639	-67.48511115
360458558.558559	-67.65443909
380478478.478478	-67.8112728
400498398.398398	-68.0053935
420518318.318318	-68.10680587
440538238.238238	-68.32756062
460558158.158158	-68.41121368
480578078.078078	-68.54018862
500597997.997998	-68.7618178
520617917.917918	-68.83081684
540637837.837838	-68.99897619
560657757.757758	-68.91229133
580677677.677678	-69.21900522
600697597.597598	-69.42998485
620717517.517517	-69.57612077
640737437.437437	-69.6321171
660757357.357357	-69.68504464
680777277.277277	-69.86271038
700797197.197197	-69.9259831
720817117.117117	-70.10092274
740837037.037037	-70.22769142
760856956.956957	-70.29732734
780876876.876877	-70.4417071
800896796.796797	-70.56218773
820916716.716717	-70.75025177
840936636.636637	-70.77338418
860956556.556557	-70.88670131
880976476.476476	-71.11676883
900996396.396396	-71.1402933
921016316.316316	-71.22079193
941036236.236236	-71.26634674
961056156.156156	-71.52982823
981076076.076076	-71.52584974
1001095995.996	-71.63950668
1021115915.91592	-71.78186343
1041135835.83584	-71.84570243
1061155755.75576	-71.92154309
1081175675.67568	-71.95664807
1101195595.5956	-72.11262425
1121215515.51552	-72.22755839
1141235435.43544	-72.29717063
1161255355.35536	-72.46510541
1181275275.27528	-72.49499216
1201295195.1952	-72.67252065
1221315115.11512	-72.70619607
1241335035.03503	-72.72016707
1261354954.95495	-72.82347242
1281374874.87487	-72.87231124
1301394794.79479	-72.98272798
1321414714.71471	-73.04465263
1341434634.63463	-73.18781343
1361454554.55455	-73.1673913
1381474474.47447	-73.40428743
1401494394.39439	-73.54134134
1421514314.31431	-73.58447541
1441534234.23423	-73.61158236
1461554154.15415	-73.74193118
1481574074.07407	-73.66794038
1501593993.99399	-73.88748436
1521613913.91391	-73.99221342
1541633833.83383	-74.02879645
1561653753.75375	-74.07828103
1581673673.67367	-74.19695839
1601693593.59359	-74.18392456
1621713513.51351	-74.22649046
1641733433.43343	-74.34284529
1661753353.35335	-74.47221452
1681773273.27327	-74.66090567
1701793193.19319	-74.72091648
1721813113.11311	-74.83091839
1741833033.03303	-74.81832778
1761852952.95295	-74.83871662
1781872872.87287	-74.9167407
1801892792.79279	-75.08474558
1821912712.71271	-75.13910167
1841932632.63263	-75.28541356
1861952552.55255	-75.32844724
1881972472.47247	-75.45981073
1901992392.39239	-75.40621634
1922012312.31231	-75.62600017
1942032232.23223	-75.67683231
1962052152.15215	-75.83975773
1982072072.07207	-75.89341849
2002091991.99199	-75.87963076
2022111911.91191	-76.17813807
2042131831.83183	-76.09089574
2062151751.75175	-76.28517753
2082171671.67167	-76.30418074
2102191591.59159	-76.33010254
2122211511.51151	-76.51132661
2142231431.43143	-76.40480038
2162251351.35135	-76.72254442
2182271271.27127	-76.7235516
2202291191.19119	-76.74797609
2222311111.11111	-76.92179979
2242331031.03103	-76.7422664
2262350950.95095	-77.04113733
2282370870.87087	-76.84629587
2302390790.79079	-77.08937154
2322410710.71071	-77.15767926
2342430630.63063	-77.21285423
2362450550.55055	-77.29477336
2382470470.47047	-77.41295734
2402490390.39039	-77.4917848
2422510310.31031	-77.6366168
2442530230.23023	-77.44764819
2462550150.15015	-77.63162371
2482570070.07007	-77.65627164
2502589989.98999	-77.82404772
2522609909.90991	-77.88057868
2542629829.82983	-77.70021091
2562649749.74975	-78.11055507
2582669669.66967	-78.14894996
2602689589.58959	-78.12831417
2622709509.50951	-78.16634891
2642729429.42943	-78.31487598
2662749349.34935	-78.44147682
2682769269.26927	-78.50452562
2702789189.18919	-78.45126529
2722809109.10911	-78.53585511
2742829029.02903	-78.64439112
2762848948.94895	-78.8366154
2782868868.86887	-78.77998324
2802888788.78879	-78.8500996
2822908708.70871	-78.86861868
2842928628.62863	-79.03214939
2862948548.54855	-79.03730817
2882968468.46847	-79.03739195
2902988388.38839	-79.03487784
2923008308.30831	-79.13494779
2943028228.22823	-79.27442642
2963048148.14815	-79.51806858
2983068068.06807	-79.29887885
3003087987.98799	-79.4303195
3023107907.90791	-79.65539762
3043127827.82783	-79.64913269
3063147747.74775	-79.63774765
3083167667.66767	-79.71394275
3103187587.58759	-79.74367896
3123207507.50751	-79.72967678
3143227427.42743	-80.04138982
3163247347.34735	-80.25810547
3183267267.26727	-80.03086544
3203287187.18719	-80.39327691
3223307107.10711	-80.38686473
3243327027.02703	-80.29827278
3263346946.94695	-80.36707853
3283366866.86687	-80.3637384
3303386786.78679	-80.34000963
3323406706.70671	-80.58712337
3343426626.62663	-80.40217563
3363446546.54655	-80.61787212
3383466466.46647	-80.47517938
3403486386.38639	-80.54873362
3423506306.30631	-80.79090997
3443526226.22623	-80.65835151
3463546146.14615	-80.50282957
3483566066.06607	-81.07792999
3503585985.98599	-80.91377421
3523605905.90591	-81.10637737
3543625825.82583	-81.18036627
3563645745.74575	-81.17272874
3583665665.66567	-81.28784658
3603685585.58559	-81.31495175
3623705505.50551	-81.20485964
3643725425.42543	-81.35048924
3663745345.34535	-81.30508586
3683765265.26526	-81.42865387
3703785185.18518	-81.20065929
3723805105.1051	-81.45868174
3743825025.02502	-81.59502691
3763844944.94494	-81.58276822
3783864864.86486	-81.77737349
3803884784.78478	-81.82911413
3823904704.7047	-81.79341922
3843924624.62462	-81.81668354
3863944544.54454	-81.80134534
3883964464.46446	-82.09435968
3903984384.38438	-82.04230156
3924004304.3043	-82.00227512
3944024224.22422	-81.91297177
3964044144.14414	-82.23155994
3984064064.06406	-82.22268964
4004083983.98398	-82.31613419
4024103903.9039	-82.33242065
4044123823.82382	-82.20664186
4064143743.74374	-82.34587536
4084163663.66366	-82.61023792
4104183583.58358	-82.53008986
4124203503.5035	-82.57578047
4144223423.42342	-82.70853615
4164243343.34334	-82.91624306
4184263263.26326	-82.7494925
4204283183.18318	-82.97805403
4224303103.1031	-82.95146802
4244323023.02302	-82.83065634
4264342942.94294	-83.08593795
