# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-11.99674621
20119919.9199199	-14.29844896
40139839.8398398	-15.67447374
60159759.7597598	-15.36056226
80179679.6796797	-14.9964354
100199599.5996	-16.13499164
120219519.51952	-20.08361087
140239439.439439	-24.45269254
160259359.359359	-28.21725325
180279279.279279	-30.72735592
200299199.199199	-31.39370805
220319119.119119	-33.75982533
240339039.039039	-32.30482454
260358958.958959	-31.9724768
280378878.878879	-24.94065566
300398798.798799	-28.09940069
320418718.718719	-34.5822215
340438638.638639	-41.95505532
360458558.558559	-45.21009958
380478478.478478	-44.91411267
400498398.398398	-41.0789658
420518318.318318	-42.33576069
440538238.238238	-40.57722138
460558158.158158	-40.77381183
480578078.078078	-45.67310651
500597997.997998	-49.07016182
520617917.917918	-46.86469429
540637837.837838	-50.11155642
560657757.757758	-48.92113677
580677677.677678	-49.21110001
600697597.597598	-52.40519769
620717517.517517	-53.23348954
640737437.437437	-52.69695604
660757357.357357	-55.91075028
680777277.277277	-54.74946253
700797197.197197	-48.49433391
720817117.117117	-47.81970095
740837037.037037	-51.95502809
760856956.956957	-78.31161045
780876876.876877	-51.19888251
800896796.796797	-61.76022224
820916716.716717	-70.17358712
840936636.636637	-53.18516173
860956556.556557	-65.65878412
880976476.476476	-59.46388778
900996396.396396	-51.93454476
921016316.316316	-46.87518315
941036236.236236	-57.70468696
961056156.156156	-59.45058884
981076076.076076	-61.322395
1001095995.996	-51.78859494
1021115915.91592	-66.97215458
1041135835.83584	-50.10623635
1061155755.75576	-58.81551181
1081175675.67568	-48.56830185
1101195595.5956	-49.0522116
1121215515.51552	-50.81638388
1141235435.43544	-53.77456685
1161255355.35536	-51.49716765
1181275275.27528	-50.20949836
1201295195.1952	-48.56865534
1221315115.11512	-43.01012069
1241335035.03503	-41.85703181
1261354954.95495	-39.64065491
1281374874.87487	-42.41476193
1301394794.79479	-37.81241253
1321414714.71471	-38.6722721
1341434634.63463	-37.83564031
1361454554.55455	-36.50010449
1381474474.47447	-34.88124758
1401494394.39439	-36.46893382
1421514314.31431	-36.17435214
1441534234.23423	-34.81531407
1461554154.15415	-33.67123125
1481574074.07407	-33.95341858
1501593993.99399	-34.91450201
1521613913.91391	-34.49251272
1541633833.83383	-34.54874952
1561653753.75375	-34.13190781
1581673673.67367	-33.17979876
1601693593.59359	-32.95819533
1621713513.51351	-31.38121055
1641733433.43343	-31.49262668
1661753353.35335	-32.50211698
1681773273.27327	-31.31275031
1701793193.19319	-31.45773937
1721813113.11311	-30.30762636
1741833033.03303	-30.23446959
1761852952.95295	-29.98210659
1781872872.87287	-29.15145627
1801892792.79279	-29.75426333
1821912712.71271	-29.48999578
1841932632.63263	-29.50142644
1861952552.55255	-29.62526393
1881972472.47247	-29.29151409
1901992392.39239	-28.79602388
1922012312.31231	-28.7366519
1942032232.23223	-29.01127388
1962052152.15215	-29.81752189
1982072072.07207	-28.82179104
2002091991.99199	-29.34708872
2022111911.91191	-28.89739301
2042131831.83183	-29.09794176
2062151751.75175	-29.02166533
2082171671.67167	-28.83408378
2102191591.59159	-28.89145697
2122211511.51151	-28.17259656
2142231431.43143	-28.68865346
2162251351.35135	-28.15732663
2182271271.27127	-28.58157139
2202291191.19119	-28.82722886
2222311111.11111	-28.55880047
2242331031.03103	-29.38707734
2262350950.95095	-28.34376799
2282370870.87087	-28.10068429
2302390790.79079	-28.15305388
2322410710.71071	-28.87951953
2342430630.63063	-28.66293753
2362450550.55055	-28.81004195
2382470470.47047	-28.25789615
2402490390.39039	-28.35126871
2422510310.31031	-28.97598447
2442530230.23023	-29.43516983
2462550150.15015	-28.21350148
2482570070.07007	-30.46996521
2502589989.98999	-29.34079863
2522609909.90991	-29.46012376
2542629829.82983	-28.60806719
2562649749.74975	-29.02919865
2582669669.66967	-29.01976252
2602689589.58959	-29.30817991
2622709509.50951	-29.30231947
2642729429.42943	-29.4511272
2662749349.34935	-29.234204
2682769269.26927	-29.57975543
2702789189.18919	-29.58484695
2722809109.10911	-29.55344871
2742829029.02903	-30.13159243
2762848948.94895	-29.94941242
2782868868.86887	-29.62733601
2802888788.78879	-29.84409062
2822908708.70871	-30.2210506
2842928628.62863	-29.86839345
2862948548.54855	-30.21583679
2882968468.46847	-30.43220854
2902988388.38839	-30.09473694
2923008308.30831	-30.49273447
2943028228.22823	-30.43723462
2963048148.14815	-30.17921474
2983068068.06807	-30.02664827
3003087987.98799	-30.54854144
3023107907.90791	-30.74213778
3043127827.82783	-30.47897681
3063147747.74775	-30.43224402
3083167667.66767	-30.86821673
3103187587.58759	-30.80496745
3123207507.50751	-30.87615692
3143227427.42743	-31.54938428
3163247347.34735	-31.53419266
3183267267.26727	-30.60000247
3203287187.18719	-31.28531769
3223307107.10711	-30.69238463
3243327027.02703	-31.22851696
3263346946.94695	-31.61144441
3283366866.86687	-31.34040343
3303386786.78679	-32.23077121
3323406706.70671	-31.3188672
3343426626.62663	-31.22563831
3363446546.54655	-31.62237231
3383466466.46647	-32.58127113
3403486386.38639	-32.32551375
3423506306.30631	-31.62457599
3443526226.22623	-32.08320791
3463546146.14615	-32.56290132
3483566066.06607	-31.96261519
3503585985.98599	-31.86824765
3523605905.90591	-32.91969013
3543625825.82583	-31.53272877
3563645745.74575	-31.82107834
3583665665.66567	-32.25830924
3603685585.58559	-32.49939847
3623705505.50551	-33.16936285
3643725425.42543	-32.47146684
3663745345.34535	-31.96749918
3683765265.26526	-33.1677253
3703785185.18518	-32.95029426
3723805105.1051	-32.58663107
3743825025.02502	-33.47056333
3763844944.94494	-33.73727937
3783864864.86486	-32.97626058
3803884784.78478	-32.77547175
3823904704.7047	-32.70110158
3843924624.62462	-32.54139971
3863944544.54454	-33.47433272
3883964464.46446	-33.33450737
3903984384.38438	-33.75438178
3924004304.3043	-33.04986817
3944024224.22422	-33.42111415
3964044144.14414	-33.23922992
3984064064.06406	-33.50241167
4004083983.98398	-33.69945124
4024103903.9039	-33.79735262
4044123823.82382	-33.77581719
4064143743.74374	-33.14523552
4084163663.66366	-33.52801035
4104183583.58358	-33.79778349
4124203503.5035	-33.72368629
4144223423.42342	-34.13407456
4164243343.34334	-34.19446164
4184263263.26326	-33.08252557
4204283183.18318	-34.5671474
4224303103.1031	-34.22689333
4244323023.02302	-34.07112925
4264342942.94294	-33.7878341
4284362862.86286	-33.56783131
4304382782.78278	-34.46166582
4324402702.7027	-34.1466816
4344422622.62262	-34.80494862
4364442542.54254	-34.64433339
4384462462.46246	-34.42723071
4404482382.38238	-34.45673507
4424502302.3023	-33.48492172
4444522222.22222	-34.78679908
4464542142.14214	-35.15772727
4484562062.06206	-34.97103065
4504581981.98198	-33.81509494
4524601901.9019	-34.305203
4544621821.82182	-34.36438344
4564641741.74174	-34.7679876
4584661661.66166	-34.78799722
4604681581.58158	-35.38648868
4624701501.5015	-34.696095
4644721421.42142	-35.95452626
4664741341.34134	-35.42773607
4684761261.26126	-35.71584661
4704781181.18118	-34.5385923
4724801101.1011	-35.46413062
4744821021.02102	-35.23186861
4764840940.94094	-35.89813686
4784860860.86086	-36.24209725
4804880780.78078	-35.84918388
4824900700.7007	-35.38481873
4844920620.62062	-34.768423
4864940540.54054	-35.75942336
4884960460.46046	-35.25393071
4904980380.38038	-36.38096909
4925000300.3003	-35.40235003
4945020220.22022	-35.2494157
4965040140.14014	-36.38047938
4985060060.06006	-35.90779307
5005079979.97998	-36.51618711
5025099899.8999	-36.68485943
5045119819.81982	-35.56687363
5065139739.73974	-36.09057384
5085159659.65966	-35.89090707
5105179579.57958	-36.34306122
5125199499.4995	-35.48282432
5145219419.41942	-35.89262981
5165239339.33934	-36.55540141
5185259259.25926	-36.17345431
5205279179.17918	-37.64451547
5225299099.0991	-35.81432852
5245319019.01902	-36.95876292
5265338938.93894	-36.84535303
5285358858.85886	-37.32040324
5305378778.77878	-36.91168626
5325398698.6987	-37.20158738
5345418618.61862	-37.83496938
5365438538.53854	-37.13128168
5385458458.45846	-37.69833456
5405478378.37838	-37.21914671
5425498298.2983	-36.95789333
5445518218.21822	-38.24192998
5465538138.13814	-37.978236
5485558058.05806	-37.42874156
5505577977.97798	-38.02990305
5525597897.8979	-37.69329418
5545617817.81782	-39.54205456
5565637737.73774	-38.82152241
5585657657.65766	-37.19640821
5605677577.57758	-36.81522968
5625697497.4975	-38.14964593
5645717417.41742	-38.0776139
5665737337.33734	-37.76651387
5685757257.25726	-38.21661128
5705777177.17718	-38.16974476
5725797097.0971	-37.6948536
5745817017.01702	-37.80207312
5765836936.93694	-39.84103398
5785856856.85686	-39.14890386
5805876776.77678	-38.12213613
5825896696.6967	-38.67077979
5845916616.61662	-37.49524425
5865936536.53654	-38.7529061
5885956456.45646	-37.59858452
5905976376.37638	-39.03809068
5925996296.2963	-38.32973912
5946016216.21622	-39.89546895
5966036136.13614	-38.22069441
5986056056.05606	-37.56813987
6006075975.97598	-38.84248471
6026095895.8959	-38.58020068
6046115815.81582	-40.62975172
6066135735.73574	-37.76670492
6086155655.65566	-41.38967693
6106175575.57558	-38.0004131
6126195495.49549	-40.44184933
6146215415.41541	-38.08358655
