# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-19.56049823
20119919.9199199	-59.21313156
40139839.8398398	-66.01895959
60159759.7597598	-62.7613761
80179679.6796797	-61.9342439
100199599.5996	-63.82771407
120219519.51952	-66.67329962
140239439.439439	-65.69945424
160259359.359359	-64.09555542
180279279.279279	-68.78163452
200299199.199199	-66.55784912
220319119.119119	-65.57182178
240339039.039039	-68.51937506
260358958.958959	-72.41593604
280378878.878879	-63.74979928
300398798.798799	-69.90979586
320418718.718719	-78.04884176
340438638.638639	-62.91229409
360458558.558559	-65.76745768
380478478.478478	-64.29981668
400498398.398398	-68.56467687
420518318.318318	-69.80204619
440538238.238238	-66.093251
460558158.158158	-64.13211159
480578078.078078	-71.29967159
500597997.997998	-72.24291668
520617917.917918	-70.36032734
540637837.837838	-71.99496625
560657757.757758	-72.3930169
580677677.677678	-68.94244427
600697597.597598	-64.92290233
620717517.517517	-67.45099168
640737437.437437	-65.575787
660757357.357357	-72.74149238
680777277.277277	-76.67147529
700797197.197197	-76.73050475
720817117.117117	-68.15637265
740837037.037037	-69.93987258
760856956.956957	-64.65451776
780876876.876877	-64.60471722
800896796.796797	-72.90142338
820916716.716717	-66.83615937
840936636.636637	-68.8009166
860956556.556557	-68.08009239
880976476.476476	-78.70063249
900996396.396396	-77.21305999
921016316.316316	-70.17654862
941036236.236236	-75.12113993
961056156.156156	-69.15092985
981076076.076076	-70.6081005
1001095995.996	-85.60495115
1021115915.91592	-74.19720868
1041135835.83584	-69.36879148
1061155755.75576	-67.03631601
1081175675.67568	-69.82334441
1101195595.5956	-68.50731905
1121215515.51552	-67.96644446
1141235435.43544	-73.84695213
1161255355.35536	-77.5819212
1181275275.27528	-69.75614582
1201295195.1952	-76.38553278
1221315115.11512	-77.17810232
1241335035.03503	-69.98395186
1261354954.95495	-71.51651608
1281374874.87487	-68.58478399
1301394794.79479	-71.93732037
1321414714.71471	-67.01809434
1341434634.63463	-67.07795252
1361454554.55455	-71.41083925
1381474474.47447	-76.82962566
1401494394.39439	-66.10357264
1421514314.31431	-73.87208337
1441534234.23423	-76.04022888
1461554154.15415	-69.44991306
1481574074.07407	-86.55836088
1501593993.99399	-77.29288105
1521613913.91391	-67.48217116
1541633833.83383	-72.09998101
1561653753.75375	-79.72401052
1581673673.67367	-76.47579975
1601693593.59359	-71.77801944
1621713513.51351	-68.95427618
1641733433.43343	-68.08695918
1661753353.35335	-77.10903104
1681773273.27327	-76.67783958
1701793193.19319	-82.33859167
1721813113.11311	-69.91573545
1741833033.03303	-73.19533974
1761852952.95295	-69.03381275
1781872872.87287	-73.80250669
1801892792.79279	-67.15728694
1821912712.71271	-72.36774454
1841932632.63263	-68.12209807
1861952552.55255	-72.57956471
1881972472.47247	-71.3442603
1901992392.39239	-70.56242683
1922012312.31231	-71.33399141
1942032232.23223	-70.76267742
1962052152.15215	-75.08734584
1982072072.07207	-74.49344427
2002091991.99199	-69.23123976
2022111911.91191	-68.10521442
2042131831.83183	-69.39016411
2062151751.75175	-70.38038483
2082171671.67167	-78.33208829
2102191591.59159	-79.52065849
2122211511.51151	-83.15466952
2142231431.43143	-80.4602358
2162251351.35135	-75.26654822
2182271271.27127	-79.50810674
2202291191.19119	-74.26753211
2222311111.11111	-69.68728198
2242331031.03103	-70.12248793
2262350950.95095	-79.15963708
2282370870.87087	-73.7669038
2302390790.79079	-72.28796295
2322410710.71071	-71.28609091
2342430630.63063	-75.41861732
2362450550.55055	-82.15684781
2382470470.47047	-70.86082438
2402490390.39039	-70.63882531
2422510310.31031	-73.98240642
2442530230.23023	-93.03535618
2462550150.15015	-78.47843445
2482570070.07007	-73.82444969
2502589989.98999	-69.12557908
2522609909.90991	-71.56725558
2542629829.82983	-90.36569381
2562649749.74975	-90.29181975
2582669669.66967	-75.65247252
2602689589.58959	-73.12793445
2622709509.50951	-77.78850592
2642729429.42943	-72.43362829
2662749349.34935	-75.306775
2682769269.26927	-71.99275633
2702789189.18919	-81.81182889
2722809109.10911	-69.03751092
2742829029.02903	-74.25997409
2762848948.94895	-75.68512189
2782868868.86887	-76.01360043
2802888788.78879	-78.0530224
2822908708.70871	-77.46064593
2842928628.62863	-75.97393153
2862948548.54855	-84.39349303
2882968468.46847	-77.03791942
2902988388.38839	-75.32046028
2923008308.30831	-77.07354616
2943028228.22823	-72.3009578
2963048148.14815	-73.99671731
2983068068.06807	-71.59471258
3003087987.98799	-71.99408056
3023107907.90791	-74.56380356
3043127827.82783	-74.77359548
3063147747.74775	-79.46521839
3083167667.66767	-74.81836056
3103187587.58759	-72.63161566
3123207507.50751	-78.39580494
3143227427.42743	-72.85915827
3163247347.34735	-76.67055933
3183267267.26727	-78.07600955
3203287187.18719	-82.71100526
3223307107.10711	-71.82537601
3243327027.02703	-69.17669412
3263346946.94695	-77.91017404
3283366866.86687	-81.10655067
3303386786.78679	-81.02610796
3323406706.70671	-73.93178023
3343426626.62663	-78.56274774
3363446546.54655	-81.62914639
3383466466.46647	-84.94964812
3403486386.38639	-74.22659265
3423506306.30631	-73.97119277
3443526226.22623	-84.05693973
3463546146.14615	-79.02822408
3483566066.06607	-75.94572151
3503585985.98599	-77.8553539
3523605905.90591	-84.76310851
3543625825.82583	-78.15943168
3563645745.74575	-72.40574269
3583665665.66567	-75.46290538
3603685585.58559	-75.06858396
3623705505.50551	-78.63930469
3643725425.42543	-77.07055951
3663745345.34535	-73.2208292
3683765265.26526	-78.50479717
3703785185.18518	-82.9956237
3723805105.1051	-72.45199955
3743825025.02502	-73.63531553
3763844944.94494	-93.98939178
3783864864.86486	-73.37142378
3803884784.78478	-81.64181431
3823904704.7047	-72.78019878
3843924624.62462	-73.67667617
3863944544.54454	-76.57704767
3883964464.46446	-85.15139147
3903984384.38438	-77.5915401
3924004304.3043	-73.71736625
3944024224.22422	-78.77090115
3964044144.14414	-72.16553401
3984064064.06406	-82.06056155
4004083983.98398	-83.26529713
4024103903.9039	-75.87152296
4044123823.82382	-80.80663058
4064143743.74374	-79.21232977
4084163663.66366	-79.04833902
4104183583.58358	-97.12828716
4124203503.5035	-79.26807612
4144223423.42342	-74.55240434
4164243343.34334	-78.33418894
4184263263.26326	-80.15609525
4204283183.18318	-82.28798164
4224303103.1031	-80.29589797
