# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-20.0482114
20119919.9199199	-42.15780434
40139839.8398398	-47.81017314
60159759.7597598	-53.6411855
80179679.6796797	-67.62128971
100199599.5996	-53.33833572
120219519.51952	-62.71132151
140239439.439439	-52.44012238
160259359.359359	-51.76818836
180279279.279279	-53.84195875
200299199.199199	-65.97617738
220319119.119119	-47.98561478
240339039.039039	-58.66310496
260358958.958959	-51.81057268
280378878.878879	-46.95556765
300398798.798799	-64.35582053
320418718.718719	-55.1779677
340438638.638639	-52.6227158
360458558.558559	-46.68748825
380478478.478478	-48.81045119
400498398.398398	-54.51260147
420518318.318318	-62.69519979
440538238.238238	-49.49983186
460558158.158158	-64.99252524
480578078.078078	-51.61363853
500597997.997998	-52.93479946
520617917.917918	-50.12771208
540637837.837838	-53.98484708
560657757.757758	-47.12399148
580677677.677678	-47.88914141
600697597.597598	-57.38337198
620717517.517517	-53.33286426
640737437.437437	-59.04808985
660757357.357357	-54.18088072
680777277.277277	-50.35132893
700797197.197197	-62.9550255
720817117.117117	-50.74542025
740837037.037037	-57.46610079
760856956.956957	-55.74428128
780876876.876877	-47.56809702
800896796.796797	-49.92007952
820916716.716717	-60.13015798
840936636.636637	-62.26039715
860956556.556557	-54.46918653
880976476.476476	-61.52302971
900996396.396396	-58.697193
921016316.316316	-47.85780654
941036236.236236	-60.09260879
961056156.156156	-50.09744943
981076076.076076	-67.53504132
1001095995.996	-55.50455363
1021115915.91592	-75.23459982
1041135835.83584	-54.76640414
1061155755.75576	-50.61763088
1081175675.67568	-57.86600914
1101195595.5956	-50.41309463
1121215515.51552	-56.81811386
1141235435.43544	-48.1968197
1161255355.35536	-51.3816424
1181275275.27528	-62.31930428
1201295195.1952	-53.78810241
1221315115.11512	-52.09150005
1241335035.03503	-45.28861714
1261354954.95495	-60.87961346
1281374874.87487	-62.37694434
1301394794.79479	-54.39691525
1321414714.71471	-54.09644196
1341434634.63463	-60.09997347
1361454554.55455	-55.79716869
1381474474.47447	-60.43565313
1401494394.39439	-48.95231944
1421514314.31431	-53.9385539
1441534234.23423	-50.66625621
1461554154.15415	-50.08465664
1481574074.07407	-62.29369118
1501593993.99399	-62.06196228
1521613913.91391	-49.5889947
1541633833.83383	-66.15686468
1561653753.75375	-52.84528992
1581673673.67367	-56.70331865
1601693593.59359	-52.42917379
1621713513.51351	-58.84549253
1641733433.43343	-56.87024814
1661753353.35335	-60.43668034
1681773273.27327	-55.66766703
1701793193.19319	-52.99288307
1721813113.11311	-54.73010904
1741833033.03303	-53.10571161
1761852952.95295	-50.12030256
1781872872.87287	-68.24615642
1801892792.79279	-53.5813677
1821912712.71271	-64.25801284
1841932632.63263	-57.11082391
1861952552.55255	-58.15802786
1881972472.47247	-59.01743766
1901992392.39239	-54.25367782
1922012312.31231	-69.41894765
1942032232.23223	-50.9777965
1962052152.15215	-58.39471159
1982072072.07207	-64.74691879
2002091991.99199	-59.39467804
2022111911.91191	-55.25498787
2042131831.83183	-49.48431012
2062151751.75175	-55.47368166
2082171671.67167	-53.87130315
2102191591.59159	-57.41321691
2122211511.51151	-54.55113902
2142231431.43143	-61.54601009
2162251351.35135	-60.32908002
2182271271.27127	-52.03324852
2202291191.19119	-56.16242782
2222311111.11111	-58.48115986
2242331031.03103	-49.4358567
2262350950.95095	-56.48656291
2282370870.87087	-56.59654598
2302390790.79079	-53.05717693
2322410710.71071	-60.47141067
2342430630.63063	-57.62066704
2362450550.55055	-55.31629321
2382470470.47047	-49.32650394
2402490390.39039	-52.6678204
2422510310.31031	-52.31564539
2442530230.23023	-59.40200336
2462550150.15015	-57.73457125
2482570070.07007	-56.41995144
2502589989.98999	-55.66350563
2522609909.90991	-56.02788788
2542629829.82983	-53.30905545
2562649749.74975	-57.82437974
2582669669.66967	-56.56685313
2602689589.58959	-50.0410438
2622709509.50951	-53.97217651
2642729429.42943	-61.74890332
2662749349.34935	-61.69159886
2682769269.26927	-54.71589375
2702789189.18919	-56.11358579
2722809109.10911	-55.23104609
2742829029.02903	-57.67403732
