# S12_frequency_set	VNA_S12_trace
# "S12 frequency"	"S12 magnitude"
# 1000
100000	-20.14181155
20119919.9199199	-63.4871797
40139839.8398398	-61.96809221
60159759.7597598	-64.30087373
80179679.6796797	-64.55320255
100199599.5996	-64.86653942
120219519.51952	-65.14446625
140239439.439439	-65.39527328
160259359.359359	-65.70531032
180279279.279279	-65.90408229
200299199.199199	-66.13647792
220319119.119119	-66.3484404
240339039.039039	-66.56208777
260358958.958959	-66.78081202
280378878.878879	-66.94808928
300398798.798799	-67.21310239
320418718.718719	-67.29754054
340438638.638639	-67.60135992
360458558.558559	-67.7113658
380478478.478478	-67.79929419
400498398.398398	-68.00365935
420518318.318318	-68.12643034
440538238.238238	-68.29901694
460558158.158158	-68.45478761
480578078.078078	-68.55556597
500597997.997998	-68.7120568
520617917.917918	-68.89191391
540637837.837838	-69.09169257
560657757.757758	-69.06133119
580677677.677678	-69.30365408
600697597.597598	-69.42750877
620717517.517517	-69.43128784
640737437.437437	-69.55600248
660757357.357357	-69.80270972
680777277.277277	-69.96299221
700797197.197197	-70.16439331
720817117.117117	-70.16891596
740837037.037037	-70.31090924
760856956.956957	-70.37951207
780876876.876877	-70.51274507
800896796.796797	-70.55112673
820916716.716717	-70.70233947
840936636.636637	-70.82566251
860956556.556557	-71.04890632
880976476.476476	-71.10580048
900996396.396396	-71.13062496
921016316.316316	-71.25781886
941036236.236236	-71.379535
961056156.156156	-71.47167704
981076076.076076	-71.57115165
1001095995.996	-71.73181102
1021115915.91592	-71.89103832
1041135835.83584	-71.85184389
1061155755.75576	-72.05919748
1081175675.67568	-72.07354677
1101195595.5956	-72.19918256
1121215515.51552	-72.20825949
1141235435.43544	-72.3256273
1161255355.35536	-72.51086876
1181275275.27528	-72.62994877
1201295195.1952	-72.64228817
1221315115.11512	-72.72025563
1241335035.03503	-72.89567672
1261354954.95495	-72.85460463
1281374874.87487	-72.96786209
1301394794.79479	-73.0760506
1321414714.71471	-73.21803122
1341434634.63463	-73.33212216
1361454554.55455	-73.37005351
1381474474.47447	-73.38659477
1401494394.39439	-73.5205738
1421514314.31431	-73.63984897
1441534234.23423	-73.7476525
1461554154.15415	-73.77585687
1481574074.07407	-73.78633614
1501593993.99399	-73.96878314
1521613913.91391	-74.13403681
1541633833.83383	-74.17167849
1561653753.75375	-74.19455522
1581673673.67367	-74.27504013
1601693593.59359	-74.36062325
1621713513.51351	-74.3287432
1641733433.43343	-74.58225097
1661753353.35335	-74.68304216
1681773273.27327	-74.66596828
1701793193.19319	-74.76101091
1721813113.11311	-74.88979292
1741833033.03303	-74.95090332
1761852952.95295	-74.87690968
1781872872.87287	-75.1640074
1801892792.79279	-75.25328975
1821912712.71271	-75.2768543
1841932632.63263	-75.45417808
1861952552.55255	-75.50768763
1881972472.47247	-75.60927756
1901992392.39239	-75.75384946
1922012312.31231	-75.67345995
1942032232.23223	-75.82736073
1962052152.15215	-75.8446021
1982072072.07207	-76.04711248
2002091991.99199	-75.88248075
2022111911.91191	-76.21173299
2042131831.83183	-76.13606249
2062151751.75175	-76.34235988
2082171671.67167	-76.41525685
2102191591.59159	-76.50222486
2122211511.51151	-76.57358532
2142231431.43143	-76.49233841
2162251351.35135	-76.61527862
2182271271.27127	-76.61253945
2202291191.19119	-76.7633315
2222311111.11111	-76.8612774
2242331031.03103	-77.05217179
2262350950.95095	-76.91613887
2282370870.87087	-77.05758745
2302390790.79079	-77.23706145
2322410710.71071	-77.28225917
2342430630.63063	-77.1361607
2362450550.55055	-77.51180126
2382470470.47047	-77.52757512
2402490390.39039	-77.63325077
2422510310.31031	-77.57847854
2442530230.23023	-77.66998628
2462550150.15015	-77.69216338
2482570070.07007	-77.92664164
2502589989.98999	-77.87389223
2522609909.90991	-77.94030342
2542629829.82983	-78.11177279
2562649749.74975	-78.18320871
2582669669.66967	-78.43452571
2602689589.58959	-78.15408614
2622709509.50951	-78.36181212
2642729429.42943	-78.39183771
2662749349.34935	-78.60004509
2682769269.26927	-78.68381793
2702789189.18919	-78.55220972
2722809109.10911	-78.71718986
2742829029.02903	-78.76816825
2762848948.94895	-78.90891851
2782868868.86887	-78.90097075
2802888788.78879	-78.83527581
2822908708.70871	-79.1934423
2842928628.62863	-78.97577138
2862948548.54855	-79.25915965
2882968468.46847	-79.27349915
2902988388.38839	-79.24616802
2923008308.30831	-79.37413486
2943028228.22823	-79.44443319
2963048148.14815	-79.54072765
2983068068.06807	-79.47154816
3003087987.98799	-79.82629354
3023107907.90791	-79.82128602
3043127827.82783	-79.92382305
3063147747.74775	-79.89468577
3083167667.66767	-79.94278366
3103187587.58759	-80.03327374
3123207507.50751	-79.9834181
3143227427.42743	-79.98488235
