# S21_frequency_set	VNA_S21_trace
# "S21 frequency"	"S21 magnitude"
# 1000
100000	-15.30200158
20119919.9199199	-53.36550804
40139839.8398398	-49.54345798
60159759.7597598	-72.07215257
80179679.6796797	-53.8203984
100199599.5996	-60.88726965
120219519.51952	-51.23135095
140239439.439439	-61.44226778
160259359.359359	-52.30629265
180279279.279279	-55.16057682
200299199.199199	-55.813565
220319119.119119	-67.71385923
240339039.039039	-51.61548079
260358958.958959	-57.37095386
280378878.878879	-54.19245498
300398798.798799	-48.93968028
320418718.718719	-55.37033062
340438638.638639	-50.03732251
360458558.558559	-50.70697502
380478478.478478	-52.29296437
400498398.398398	-51.55436431
420518318.318318	-57.51623642
440538238.238238	-47.21161508
460558158.158158	-53.67211235
480578078.078078	-57.24385222
500597997.997998	-55.43684418
520617917.917918	-53.39121934
540637837.837838	-53.05560985
560657757.757758	-50.60588851
580677677.677678	-65.96789693
600697597.597598	-51.97041799
620717517.517517	-53.45717289
640737437.437437	-66.34410744
660757357.357357	-45.76179762
680777277.277277	-50.86385434
700797197.197197	-54.57221104
720817117.117117	-56.37457729
740837037.037037	-48.99039457
760856956.956957	-53.66640268
780876876.876877	-69.72627251
800896796.796797	-48.75380686
820916716.716717	-55.99001141
840936636.636637	-49.74371301
860956556.556557	-55.76664304
880976476.476476	-52.93832499
900996396.396396	-51.76045543
921016316.316316	-56.90093077
941036236.236236	-55.21407455
961056156.156156	-47.77252377
981076076.076076	-49.09348424
1001095995.996	-52.43605627
1021115915.91592	-50.78534426
1041135835.83584	-51.08235375
1061155755.75576	-53.96357044
1081175675.67568	-48.10254905
1101195595.5956	-66.33624577
1121215515.51552	-52.34759331
1141235435.43544	-52.58162415
1161255355.35536	-51.62652127
1181275275.27528	-47.92770197
1201295195.1952	-53.41639067
1221315115.11512	-52.29052167
1241335035.03503	-60.24265662
1261354954.95495	-58.69971712
1281374874.87487	-55.74543366
1301394794.79479	-57.00757684
1321414714.71471	-59.26190964
1341434634.63463	-51.69326171
1361454554.55455	-64.35111618
1381474474.47447	-57.99969208
1401494394.39439	-52.82819715
1421514314.31431	-52.37506984
1441534234.23423	-57.10363989
1461554154.15415	-53.842967
1481574074.07407	-54.58516488
1501593993.99399	-48.31860895
1521613913.91391	-56.1181283
1541633833.83383	-60.50470284
1561653753.75375	-57.99588745
1581673673.67367	-49.46785707
1601693593.59359	-55.63427319
1621713513.51351	-54.99022744
1641733433.43343	-60.33324104
1661753353.35335	-57.07609407
1681773273.27327	-51.53126181
1701793193.19319	-72.83914153
1721813113.11311	-59.6227454
1741833033.03303	-65.88717189
1761852952.95295	-56.36243756
1781872872.87287	-59.2624089
1801892792.79279	-60.04568718
1821912712.71271	-60.81515902
1841932632.63263	-67.66156842
1861952552.55255	-51.35927652
1881972472.47247	-51.41916378
1901992392.39239	-69.81902489
