# S12_frequency_set	VNA_S12_trace
# "S12 frequency"	"S12 magnitude"
# 1000
100000	-11.0950648
20119919.9199199	-14.5531322
40139839.8398398	-15.41911518
60159759.7597598	-15.5096736
80179679.6796797	-15.00821915
100199599.5996	-16.35763834
120219519.51952	-19.99943696
140239439.439439	-24.17149128
160259359.359359	-27.91553523
180279279.279279	-30.11182903
200299199.199199	-31.5765686
220319119.119119	-32.31994129
240339039.039039	-33.70169832
260358958.958959	-31.28014361
280378878.878879	-25.02779765
300398798.798799	-27.5268563
320418718.718719	-35.18966113
340438638.638639	-54.85431817
360458558.558559	-45.22155987
380478478.478478	-46.78344066
400498398.398398	-40.04976835
420518318.318318	-43.98591177
440538238.238238	-50.49442339
460558158.158158	-56.99656192
480578078.078078	-56.70094345
500597997.997998	-61.93593659
520617917.917918	-55.3041861
540637837.837838	-54.86899185
560657757.757758	-47.83134594
580677677.677678	-58.69401735
600697597.597598	-54.75587161
620717517.517517	-55.64718197
640737437.437437	-46.38587534
660757357.357357	-62.32597879
680777277.277277	-53.14637561
700797197.197197	-58.90275463
720817117.117117	-53.01486247
740837037.037037	-65.23118865
760856956.956957	-65.86447157
780876876.876877	-53.65692132
800896796.796797	-50.35725383
820916716.716717	-91.1758497
840936636.636637	-78.54260781
860956556.556557	-62.07276232
880976476.476476	-53.5011858
900996396.396396	-52.25083742
921016316.316316	-56.02979219
941036236.236236	-55.29642822
961056156.156156	-48.55706557
981076076.076076	-48.75844694
1001095995.996	-48.33056131
1021115915.91592	-51.84802991
1041135835.83584	-55.16097156
1061155755.75576	-60.34589838
1081175675.67568	-52.0206799
1101195595.5956	-51.41342005
1121215515.51552	-48.12384066
1141235435.43544	-53.04148696
1161255355.35536	-54.32074356
1181275275.27528	-52.8557687
1201295195.1952	-50.20747724
1221315115.11512	-51.3547341
1241335035.03503	-46.25193492
1261354954.95495	-66.73929629
1281374874.87487	-45.76999837
1301394794.79479	-51.92291489
1321414714.71471	-54.1889865
1341434634.63463	-49.20102571
1361454554.55455	-56.53675847
1381474474.47447	-54.03968613
1401494394.39439	-54.86576432
1421514314.31431	-49.47845515
1441534234.23423	-57.25265517
1461554154.15415	-52.88289535
1481574074.07407	-61.0750807
1501593993.99399	-51.95905357
1521613913.91391	-61.42633158
1541633833.83383	-63.28606137
1561653753.75375	-53.7162333
1581673673.67367	-64.37825366
1601693593.59359	-50.14142655
1621713513.51351	-58.3376028
1641733433.43343	-64.64821569
1661753353.35335	-46.73164326
1681773273.27327	-61.37353263
1701793193.19319	-51.61957442
1721813113.11311	-61.23740029
1741833033.03303	-61.46809441
1761852952.95295	-65.87771715
1781872872.87287	-61.16278573
1801892792.79279	-53.12270261
1821912712.71271	-62.25813372
1841932632.63263	-60.17837627
1861952552.55255	-49.52859403
